        ,bwᴬ    ,fwᴬ    ,tlᴬ    ,trᴬ    
bwᴾ     ,20     ,0      ,0      ,0      

fwᴾ     ,0      ,20     ,0      ,0      

tlᴾ     ,0      ,0      ,20     ,0      

trᴾ     ,0      ,0      ,0      ,20     

        ,bwᴬ    ,fwᴬ    ,tlᴬ    ,trᴬ    
fnr ,0.0    ,0.0    ,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,1.0    ,1.0    ,1.0    

ppv ,1.0    ,1.0    ,1.0    ,1.0    

tnr ,1.0    ,1.0    ,1.0    ,1.0    

tpr ,1.0    ,1.0    ,1.0    ,1.0    

recall ,1.0    ,1.0    ,1.0    ,1.0    

f1score ,1.0    ,1.0    ,1.0    ,1.0    

accuracy ,1.0    ,1.0    ,1.0    ,1.0    

precision ,1.0    ,1.0    ,1.0    ,1.0    

j-statistic ,1.0    ,1.0    ,1.0    ,1.0    

sensitivity ,1.0    ,1.0    ,1.0    ,1.0    

specificity ,1.0    ,1.0    ,1.0    ,1.0    

        ,bwᴬ    ,fwᴬ    ,tlᴬ    ,trᴬ    
bwᴾ     ,25.00% ,0.00%  ,0.00%  ,0.00%  

fwᴾ     ,0.00%  ,25.00% ,0.00%  ,0.00%  

tlᴾ     ,0.00%  ,0.00%  ,25.00% ,0.00%  

trᴾ     ,0.00%  ,0.00%  ,0.00%  ,25.00% 

        ,bwᴬ    ,fwᴬ    ,tlᴬ    ,trᴬ    
fnr ,0.0    ,0.0    ,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.0    ,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,1.0    ,1.0    ,1.0    ,1.0    

ppv ,1.0    ,1.0    ,1.0    ,1.0    

tnr ,1.0    ,1.0    ,1.0    ,1.0    

tpr ,1.0    ,1.0    ,1.0    ,1.0    

recall ,1.0    ,1.0    ,1.0    ,1.0    

f1score ,1.0    ,1.0    ,1.0    ,1.0    

accuracy ,1.0    ,1.0    ,1.0    ,1.0    

precision ,1.0    ,1.0    ,1.0    ,1.0    

j-statistic ,1.0    ,1.0    ,1.0    ,1.0    

sensitivity ,1.0    ,1.0    ,1.0    ,1.0    

specificity ,1.0    ,1.0    ,1.0    ,1.0    

