        ,Backᴬ  ,Forward,leftᴬ  ,rightᴬ 
Backᴾ   ,20     ,0      ,0      ,0      

Forward ,1      ,19     ,0      ,0      

leftᴾ   ,0      ,0      ,20     ,0      

rightᴾ  ,0      ,1      ,0      ,19     

        ,Backᴬ  ,Forward,leftᴬ  ,rightᴬ 
fnr ,0.04761,0.05   ,0.0    ,0.0    

fpr ,0.0    ,0.01666,0.0    ,0.01639

mcc ,0.0    ,0.93333,0.0    ,0.0    

npv ,0.98333,0.98333,1.0    ,1.0    

ppv ,1.0    ,0.95   ,1.0    ,0.95   

tnr ,1.0    ,0.98333,1.0    ,0.98360

tpr ,0.95238,0.95   ,1.0    ,1.0    

recall ,0.95238,0.95   ,1.0    ,1.0    

f1score ,0.97560,0.95   ,1.0    ,0.97435

accuracy ,0.9875 ,0.975  ,1.0    ,0.9875 

precision ,1.0    ,0.95   ,1.0    ,0.95   

j-statistic ,0.95238,0.93333,1.0    ,0.98360

sensitivity ,0.95238,0.95   ,1.0    ,1.0    

specificity ,1.0    ,0.98333,1.0    ,0.98360

        ,Backᴬ  ,Forward,leftᴬ  ,rightᴬ 
Backᴾ   ,25.00% ,0.00%  ,0.00%  ,0.00%  

Forward ,1.25%  ,23.75% ,0.00%  ,0.00%  

leftᴾ   ,0.00%  ,0.00%  ,25.00% ,0.00%  

rightᴾ  ,0.00%  ,1.25%  ,0.00%  ,23.75% 

        ,Backᴬ  ,Forward,leftᴬ  ,rightᴬ 
fnr ,0.04761,0.05   ,0.0    ,0.0    

fpr ,0.0    ,0.01666,0.0    ,0.01639

mcc ,0.0    ,0.93333,0.0    ,0.0    

npv ,0.98333,0.98333,1.0    ,1.0    

ppv ,1.0    ,0.95   ,1.0    ,0.95   

tnr ,1.0    ,0.98333,1.0    ,0.98360

tpr ,0.95238,0.95   ,1.0    ,1.0    

recall ,0.95238,0.95   ,1.0    ,1.0    

f1score ,0.97560,0.95   ,1.0    ,0.97435

accuracy ,0.9875 ,0.975  ,1.0    ,0.9875 

precision ,1.0    ,0.95   ,1.0    ,0.95   

j-statistic ,0.95238,0.93333,1.0    ,0.98360

sensitivity ,0.95238,0.95   ,1.0    ,1.0    

specificity ,1.0    ,0.98333,1.0    ,0.98360

