        ,Forwardᴬ ,Reverseᴬ ,TurnLeftᴬ,TurnRight
Forwardᴾ  ,20       ,0        ,0        ,0        

Reverseᴾ  ,0        ,19       ,0        ,1        

TurnLeftᴾ ,0        ,0        ,20       ,0        

TurnRight ,0        ,0        ,0        ,20       

        ,Forwardᴬ ,Reverseᴬ ,TurnLeftᴬ,TurnRight
fnr ,0.0      ,0.0      ,0.0      ,0.0476190

fpr ,0.0      ,0.0163934,0.0      ,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,1.0      ,1.0      ,1.0      ,0.9833333

ppv ,1.0      ,0.95     ,1.0      ,1.0      

tnr ,1.0      ,0.9836065,1.0      ,1.0      

tpr ,1.0      ,1.0      ,1.0      ,0.9523809

recall ,1.0      ,1.0      ,1.0      ,0.9523809

f1score ,1.0      ,0.9743589,1.0      ,0.9756097

accuracy ,1.0      ,0.9875   ,1.0      ,0.9875   

precision ,1.0      ,0.95     ,1.0      ,1.0      

j-statistic ,1.0      ,0.9836065,1.0      ,0.9523809

sensitivity ,1.0      ,1.0      ,1.0      ,0.9523809

specificity ,1.0      ,0.9836065,1.0      ,1.0      

        ,Forwardᴬ ,Reverseᴬ ,TurnLeftᴬ,TurnRight
Forwardᴾ  ,25.00%   ,0.00%    ,0.00%    ,0.00%    

Reverseᴾ  ,0.00%    ,23.75%   ,0.00%    ,1.25%    

TurnLeftᴾ ,0.00%    ,0.00%    ,25.00%   ,0.00%    

TurnRight ,0.00%    ,0.00%    ,0.00%    ,25.00%   

        ,Forwardᴬ ,Reverseᴬ ,TurnLeftᴬ,TurnRight
fnr ,0.0      ,0.0      ,0.0      ,0.0476190

fpr ,0.0      ,0.0163934,0.0      ,0.0      

mcc ,0.0      ,0.0      ,0.0      ,0.0      

npv ,1.0      ,1.0      ,1.0      ,0.9833333

ppv ,1.0      ,0.95     ,1.0      ,1.0      

tnr ,1.0      ,0.9836065,1.0      ,1.0      

tpr ,1.0      ,1.0      ,1.0      ,0.9523809

recall ,1.0      ,1.0      ,1.0      ,0.9523809

f1score ,1.0      ,0.9743589,1.0      ,0.9756097

accuracy ,1.0      ,0.9875   ,1.0      ,0.9875   

precision ,1.0      ,0.95     ,1.0      ,1.0      

j-statistic ,1.0      ,0.9836065,1.0      ,0.9523809

sensitivity ,1.0      ,1.0      ,1.0      ,0.9523809

specificity ,1.0      ,0.9836065,1.0      ,1.0      

