        ,MoveBackᴬ  ,MoveForward,TurnLeftᴬ  ,TurnRightᴬ 
MoveBackᴾ   ,20         ,0          ,0          ,3          

MoveForward ,0          ,20         ,0          ,0          

TurnLeftᴾ   ,0          ,0          ,20         ,10         

TurnRightᴾ  ,0          ,0          ,0          ,6          

        ,MoveBackᴬ  ,MoveForward,TurnLeftᴬ  ,TurnRightᴬ 
fnr ,0.0        ,0.0        ,0.0        ,0.684210526

fpr ,0.050847457,0.0        ,0.169491525,0.0        

mcc ,0.0        ,0.0        ,0.0        ,0.0        

npv ,1.0        ,1.0        ,1.0        ,0.821917808

ppv ,0.869565217,1.0        ,0.666666666,1.0        

tnr ,0.949152542,1.0        ,0.830508474,1.0        

tpr ,1.0        ,1.0        ,1.0        ,0.315789473

recall ,1.0        ,1.0        ,1.0        ,0.315789473

f1score ,0.930232558,1.0        ,0.8        ,0.48       

accuracy ,0.962025316,1.0        ,0.873417721,0.835443037

precision ,0.869565217,1.0        ,0.666666666,1.0        

j-statistic ,0.949152542,1.0        ,0.830508474,0.315789473

sensitivity ,1.0        ,1.0        ,1.0        ,0.315789473

specificity ,0.949152542,1.0        ,0.830508474,1.0        

        ,MoveBackᴬ  ,MoveForward,TurnLeftᴬ  ,TurnRightᴬ 
MoveBackᴾ   ,25.32%     ,0.00%      ,0.00%      ,3.80%      

MoveForward ,0.00%      ,25.32%     ,0.00%      ,0.00%      

TurnLeftᴾ   ,0.00%      ,0.00%      ,25.32%     ,12.66%     

TurnRightᴾ  ,0.00%      ,0.00%      ,0.00%      ,7.59%      

        ,MoveBackᴬ  ,MoveForward,TurnLeftᴬ  ,TurnRightᴬ 
fnr ,0.0        ,0.0        ,0.0        ,0.684210526

fpr ,0.050847457,0.0        ,0.169491525,0.0        

mcc ,0.0        ,0.0        ,0.0        ,0.0        

npv ,1.0        ,1.0        ,1.0        ,0.821917808

ppv ,0.869565217,1.0        ,0.666666666,1.0        

tnr ,0.949152542,1.0        ,0.830508474,1.0        

tpr ,1.0        ,1.0        ,1.0        ,0.315789473

recall ,1.0        ,1.0        ,1.0        ,0.315789473

f1score ,0.930232558,1.0        ,0.8        ,0.48       

accuracy ,0.962025316,1.0        ,0.873417721,0.835443037

precision ,0.869565217,1.0        ,0.666666666,1.0        

j-statistic ,0.949152542,1.0        ,0.830508474,0.315789473

sensitivity ,1.0        ,1.0        ,1.0        ,0.315789473

specificity ,0.949152542,1.0        ,0.830508474,1.0        

