        ,backᴬ  ,goᴬ    ,leftᴬ  ,rightᴬ 
backᴾ   ,23     ,0      ,0      ,0      

goᴾ     ,0      ,17     ,0      ,0      

leftᴾ   ,1      ,0      ,22     ,0      

rightᴾ  ,0      ,0      ,0      ,26     

        ,backᴬ  ,goᴬ    ,leftᴬ  ,rightᴬ 
fnr ,0.04166,0.0    ,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.01492,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,0.98484,1.0    ,1.0    ,1.0    

ppv ,1.0    ,1.0    ,0.95652,1.0    

tnr ,1.0    ,1.0    ,0.98507,1.0    

tpr ,0.95833,1.0    ,1.0    ,1.0    

recall ,0.95833,1.0    ,1.0    ,1.0    

f1score ,0.97872,1.0    ,0.97777,1.0    

accuracy ,0.98876,1.0    ,0.98876,1.0    

precision ,1.0    ,1.0    ,0.95652,1.0    

j-statistic ,0.95833,1.0    ,0.98507,1.0    

sensitivity ,0.95833,1.0    ,1.0    ,1.0    

specificity ,1.0    ,1.0    ,0.98507,1.0    

        ,backᴬ  ,goᴬ    ,leftᴬ  ,rightᴬ 
backᴾ   ,25.84% ,0.00%  ,0.00%  ,0.00%  

goᴾ     ,0.00%  ,19.10% ,0.00%  ,0.00%  

leftᴾ   ,1.12%  ,0.00%  ,24.72% ,0.00%  

rightᴾ  ,0.00%  ,0.00%  ,0.00%  ,29.21% 

        ,backᴬ  ,goᴬ    ,leftᴬ  ,rightᴬ 
fnr ,0.04166,0.0    ,0.0    ,0.0    

fpr ,0.0    ,0.0    ,0.01492,0.0    

mcc ,0.0    ,0.0    ,0.0    ,0.0    

npv ,0.98484,1.0    ,1.0    ,1.0    

ppv ,1.0    ,1.0    ,0.95652,1.0    

tnr ,1.0    ,1.0    ,0.98507,1.0    

tpr ,0.95833,1.0    ,1.0    ,1.0    

recall ,0.95833,1.0    ,1.0    ,1.0    

f1score ,0.97872,1.0    ,0.97777,1.0    

accuracy ,0.98876,1.0    ,0.98876,1.0    

precision ,1.0    ,1.0    ,0.95652,1.0    

j-statistic ,0.95833,1.0    ,0.98507,1.0    

sensitivity ,0.95833,1.0    ,1.0    ,1.0    

specificity ,1.0    ,1.0    ,0.98507,1.0    

